MODEL_ID,MANUFACTURER_ID,MODEL_NAME
387,55,LS430
388,55,RX300
389,55,RX350
390,55,SC430
391,55,RX400h
392,56,340R
393,56,Elan
394,56,Elise
395,56,Exige
396,56,Esprit
397,56,Europa
398,57,CJ
399,58,CEO
401,59,Ghilbi
402,59,Spyder
403,59,3200 GT
404,59,GranTurismo
405,59,Quattroporte
406,60,Maybach
407,61,121
408,61,323
409,61,626
410,61,MPV
411,61,CX-7
412,61,MX-3
413,61,MX-5
414,61,MX-6
415,61,RX-7
416,61,RX-8
417,61,BT-50
418,61,Demio
419,61,Mazda2
420,61,Mazda3
421,61,Mazda5
422,61,Mazda6
423,61,Premacy
424,61,Tribute
425,61,Xedos 6
426,61,Xedos 9
427,61,B-Serie
428,61,E-Serie
429,62,210
430,62,410
431,62,510
432,62,110D
433,62,408D
434,62,410D
435,62,508D
436,62,609D
437,62,709D
438,62,711D
439,62,809D
440,62,811D
441,62,814D
442,62,Vito
443,62,Vaneo
444,62,Vario
445,62,Viano
446,62,A-Klasse
447,62,B-Klasse
448,62,C-Klasse
449,62,E-Klasse
450,62,G-Klasse
451,62,M-Klasse
452,62,R-Klasse
453,62,S-Klasse
454,62,V-Klasse
455,62,CL-Klasse
456,62,GL-Klasse
457,62,SL-Klasse
458,62,Sprinter
459,62,CLK-Class
460,62,CLS-Klasse
461,62,SLK-Klasse
462,62,SLR McLaren
463,63,TF
464,63,ZR
465,63,ZS
466,63,ZT
467,63,MGF
468,63,RV8
469,63,ZT-T
470,63,XPower
471,64,Mini
472,65,Colt
473,65,L200
474,65,L300
475,65,L400
476,65,Sigma
477,65,Canter
478,65,Galant
479,65,Lancer
480,65,Pajero
481,65,3000 GT
482,65,Carisma
483,65,Eclipse
484,65,Grandis
485,65,Outlander
486,65,Space Gear
487,65,Space Star
488,65,Space Wagon
489,65,Pajero Pini
490,65,Pajero Sport
491,65,Space Runner
492,65,Pajero Classic
493,66,Canter
494,67,four four
495,67,plus four
496,67,plus eight
497,68,350Z
498,68,Note
499,68,Micra
502,68,Tiida
503,68,Trade
504,68,Urvan
505,68,200 SX
506,68,Almera
507,68,Murano
508,68,Navara
509,68,Patrol
510,68,Pickup
511,68,Serena
512,68,Cabstar
513,68,Primera
514,68,Qashqai
515,68,Terrano
516,68,Vanette
517,68,X-TRAIL
518,68,Kubistar
519,68,Cabstar E
520,68,Interstar
521,68,Maxima QX
522,68,Patrol GR
523,68,Primastar
524,68,Pathfinder
525,68,Terrano II
526,68,Almera Tino
527,68,Vanette Cargo
528,69,GT
529,69,Agila
530,69,Arena
531,69,Astra
532,69,Campo
533,69,Combo
534,69,Corsa
535,69,Omega
536,69,Tigra
537,69,Antara
538,69,Meriva
539,69,Movano
540,69,Signum
541,69,Sintra
542,69,Vectra
543,69,Vivaro
544,69,Zafira
545,69,Calibra
546,69,Frontera
547,69,Monterey
548,69,Speedster
549,69,Combo Tour
550,70,106
551,70,107
552,70,205
553,70,206
554,70,207
555,70,306
556,70,307
557,70,308
558,70,405
559,70,406
560,70,407
561,70,605
562,70,607
563,70,806
564,70,807
565,70,1007
566,70,4007
567,70,Boxer
